Identification Brand,Identification Model,Identification Year,Identification Variant,Identification Body Type,Identification Seating Capacity,Identification Segment,Pricing Delhi Ex Showroom Price,Pricing Delhi Resale Value,Engine Cc,Engine Type,Engine Turbo,Engine Bhp,Engine Torque,Engine Transmission,Engine Gears,Engine Drive,Engine 0 100 Sec,Efficiency Fuel Type,Efficiency Mileage Arai,Efficiency Mileage City,Efficiency Mileage Highway,Dimensions Length,Dimensions Width,Dimensions Height,Dimensions Wheelbase,Dimensions Ground Clearance,Dimensions Weight Kg,Dimensions Boot Liters,Ev Data Is Ev,Ev Data Battery Kwh,Ev Data Range Km,Ev Data Charging Ac Hours,Ev Data Charging Dc Min,Safety Ncap Stars,Safety Airbags,Safety Abs,Safety Esp,Safety Hill Hold,Safety Isofix,Safety Tpms,Safety Adas Level 2,Warranty Years,Warranty Km,Warranty Service Km
Maruti Suzuki,Celerio,2025,VXi,Hatchback,5,A-Segment,610000,Good,998,Petrol,FALSE,66,89,Manual,5,FWD,14.5,Petrol,25,18,22,3695,1655,1555,2435,170,825,313,FALSE,0,0,0,0,2,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Celerio,2025,ZXi,Hatchback,5,Compact Hatchback,675000,Excellent,998,Petrol,FALSE,66,89,Manual,5,FWD,14.5,Petrol,25.24,18,22,3695,1655,1555,2435,170,820,313,FALSE,0,0,0,0,2,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Celerio,2025,ZXi Plus,Hatchback,5,Entry-Level Hatchback,720000,Excellent,998,Petrol,FALSE,66,89,AMT,5,FWD,15,Petrol,26,18,22,3695,1655,1555,2435,170,830,313,FALSE,0,0,0,0,1,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Celerio,2025,VXi AGS,Hatchback,5,A-Segment,595000,Good,998,Petrol,FALSE,66,89,AMT,5,FWD,15,Petrol,26.68,18,22,3695,1655,1555,2435,170,825,313,FALSE,0,0,0,0,1,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Celerio,2025,ZXi AGS,Hatchback,5,A-Segment,710000,Strong,998,Petrol,FALSE,66,89,AMT,5,FWD,13.5,Petrol,26.68,18,22,3695,1655,1555,2435,170,830,313,FALSE,0,0,0,0,3,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Celerio,2025,ZXi Plus AGS,Hatchback,5,Entry-Level Hatchback,730000,Strong,998,Petrol,FALSE,66,89,AMT,5,FWD,14.5,Petrol,26,18,22,3695,1655,1555,2435,170,825,313,FALSE,0,0,0,0,1,2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,2,40000,10000
Maruti Suzuki,Celerio,2025,VXi CNG,Hatchback,5,A-Segment,720000,Excellent,998,Petrol/CNG,FALSE,56,82,Manual,5,FWD,16.5,CNG,34.43,25,30,3695,1655,1555,2435,170,920,160,FALSE,0,0,0,0,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Wagon R,2025,LXi 1.0,Hatchback,5,A-Segment,575000,Excellent,998,Petrol,FALSE,66,89,Manual,5,FWD,15.5,Petrol,24.35,18,22,3655,1620,1675,2435,165,830,341,FALSE,0,0,0,0,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Wagon R,2025,VXi 1.0,Hatchback,5,Entry-Level Hatchback,610000,Excellent,998,Petrol,FALSE,67,89,Manual,5,FWD,15.5,Petrol,24.35,18,22,3655,1620,1675,2435,165,855,341,FALSE,0,0,0,0,2,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Wagon R,2025,ZXi 1.2,Hatchback,5,Compact Hatchback,680000,Excellent,1197,Petrol,FALSE,89,113,Manual,5,FWD,12.5,Petrol,24.8,18,22,3655,1620,1675,2435,165,920,341,FALSE,0,0,0,0,2,4,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,2,40000,10000
Maruti Suzuki,Wagon R,2025,ZXi Plus 1.2,Hatchback,5,B-Segment Hatchback,780000,Excellent,1197,Petrol,FALSE,89,113,AMT,5,FWD,12.5,Petrol,24.43,17,22,3655,1620,1675,2435,165,960,341,FALSE,0,0,0,0,2,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Wagon R,2025,VXi AGS,Hatchback,5,Entry-Level Hatchback,680000,Excellent,998,Petrol,FALSE,67,90,AMT,5,FWD,16,Petrol,25,18,22,3655,1620,1675,2435,165,850,341,FALSE,0,0,0,0,2,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Wagon R,2025,ZXi AGS,Hatchback,5,Compact Hatchback,705000,Excellent,1197,Petrol,FALSE,89,113,AMT,5,FWD,12.5,Petrol,25.5,18,22,3655,1620,1675,2435,165,915,341,FALSE,0,0,0,0,2,6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,3,100000,10000
Maruti Suzuki,Wagon R,2025,ZXi Plus AGS,Hatchback,5,A-Segment,685000,Excellent,1197,Petrol,FALSE,89,113,AMT,5,FWD,13.5,Petrol,24.8,18,22,3655,1620,1675,2435,170,905,341,FALSE,0,0,0,0,2,4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,2,40000,10000
Maruti Suzuki,Wagon R,2025,LXi CNG,Hatchback,5,A-Segment,655000,Excellent,998,Petrol/CNG,FALSE,56,82,Manual,5,FWD,17.5,CNG,34.05,28,32,3655,1620,1675,2435,165,960,70,FALSE,0,0,0,0,2,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Wagon R,2025,VXi CNG,Hatchback,5,A-Segment,745000,Excellent,998,Petrol/CNG,FALSE,56,82,Manual,5,FWD,17,CNG,34.05,28,30,3655,1620,1675,2435,165,950,70,FALSE,0,0,0,0,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Swift,2025,LXi,Hatchback,5,Premium Hatchback,660000,Excellent,1197,Petrol,FALSE,82,112,Manual,5,FWD,13.5,Petrol,24.8,18,21,3860,1735,1520,2450,163,915,265,FALSE,0,0,0,0,3,6,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Swift,2025,VXi,Hatchback,5,B-Segment,715000,Excellent,1197,Petrol,FALSE,81,112,Manual,5,FWD,12.5,Petrol,25.75,18,22,3860,1735,1520,2450,163,920,265,FALSE,0,0,0,0,3,6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,2,40000,10000
Maruti Suzuki,Swift,2025,VXi (O),Hatchback,5,B-Segment,750000,Excellent,1197,Petrol,FALSE,82,112,Manual,5,FWD,13,Petrol,25,18,22,3860,1735,1520,2450,163,920,265,FALSE,0,0,0,0,4,6,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Swift,2025,ZXi,Hatchback,5,B-Segment,890000,Excellent,1197,Petrol,FALSE,82,112,Manual,5,FWD,12,Petrol,25,18,22,3860,1735,1520,2450,163,950,265,FALSE,0,0,0,0,4,6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,2,40000,10000
Maruti Suzuki,Swift,2025,ZXi Plus,Hatchback,5,B-Segment,985000,Excellent,1197,Petrol,FALSE,82,112,AMT,5,FWD,13,Petrol,25.75,18,22,3860,1695,1500,2450,163,965,265,FALSE,0,0,0,0,4,6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,2,40000,10000
Maruti Suzuki,Swift,2025,VXi AGS,Hatchback,5,B-Segment,765000,Excellent,1197,Petrol,FALSE,80,112,AMT,5,FWD,13.5,Petrol,25.75,18,22,3860,1735,1520,2450,163,910,265,FALSE,0,0,0,0,3,6,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Swift,2025,ZXi AGS,Hatchback,5,B-Segment Hatchback,900000,Excellent,1197,Petrol,FALSE,82,112,AMT,5,FWD,13,Petrol,25.75,18.5,22,3860,1735,1520,2450,163,950,265,FALSE,0,0,0,0,3,6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,2,40000,10000
Maruti Suzuki,Swift,2025,ZXi Plus AGS,Hatchback,5,B-Segment Hatchback,985000,Excellent,1197,Petrol,FALSE,82,112,AMT,5,FWD,13.5,Petrol,25.75,18.5,22,3860,1735,1500,2450,163,950,265,FALSE,0,0,0,0,4,6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,2,40000,10000
Maruti Suzuki,Swift,2025,VXi CNG,Hatchback,5,Premium Hatchback,849000,Excellent,1197,Petrol/CNG,FALSE,76,98,Manual,5,FWD,15.5,CNG,30.9,25,28,3860,1735,1520,2450,163,1030,150,FALSE,0,0,0,0,4,6,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Dzire,2025,LXi,Sedan,5,Compact Sedan,685000,Strong,1197,Petrol,FALSE,89,113,Manual,5,FWD,12.5,Petrol,22.4,17.5,20.5,3995,1735,1515,2450,170,915,378,FALSE,0,0,0,0,3,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Dzire,2025,VXi,Compact Sedan,5,Sub-4m Sedan,780000,Excellent,1197,Petrol,FALSE,82,112,Manual,5,FWD,13,Petrol,24.5,18,21,3995,1735,1515,2450,170,910,378,FALSE,0,0,0,0,4,6,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Dzire,2025,ZXi,Compact Sedan,5,Sub-Compact,875000,Excellent,1197,Petrol,FALSE,88,113,Manual,5,FWD,12,Petrol,23.5,18,21,3995,1735,1515,2450,170,950,378,FALSE,0,0,0,0,3,6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,2,40000,10000
Maruti Suzuki,Dzire,2025,ZXi Plus,Compact Sedan,5,Sub-Compact Sedan,980000,Excellent,1197,Petrol,FALSE,90,113,Manual,5,FWD,11.5,Petrol,24.5,18.5,22,3995,1735,1515,2450,163,960,378,FALSE,0,0,0,0,4,6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,2,40000,10000
Maruti Suzuki,Dzire,2025,VXi AGS,Sedan,5,Compact Sedan,880000,Excellent,1197,Petrol,FALSE,89,113,AMT,5,FWD,13.5,Petrol,24.5,18,22,3995,1735,1515,2450,170,960,378,FALSE,0,0,0,0,3,4,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,3,100000,10000
Maruti Suzuki,Dzire,2025,ZXi AGS,Sedan,5,Sub-Compact Sedan,980000,Excellent,1197,Petrol,FALSE,89,113,AMT,5,FWD,13,Petrol,24.5,18,22,3995,1735,1515,2450,170,950,378,FALSE,0,0,0,0,3,6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,2,40000,10000
Maruti Suzuki,Dzire,2025,ZXi Plus AGS,Compact Sedan,5,Sub-4 Meter Sedan,985000,Excellent,1197,Petrol,FALSE,88,113,AMT,5,FWD,13,Petrol,24.5,18,21,3995,1735,1515,2450,170,960,378,FALSE,0,0,0,0,3,6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,3,100000,10000
Maruti Suzuki,Dzire,2025,VXi CNG,Compact Sedan,5,Sub-4m Sedan,879000,Excellent,1197,Petrol/CNG,FALSE,76,98,Manual,5,FWD,15.5,CNG,31.1,22,26,3995,1735,1515,2450,165,1060,190,FALSE,0,0,0,0,2,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Brezza,2025,LXi,Compact SUV,5,Sub-Compact SUV,875000,Excellent,1462,Petrol,FALSE,101,136,Manual,5,FWD,13,Petrol,20.15,15,18,3995,1790,1685,2500,200,1150,328,FALSE,0,0,0,0,4,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Brezza,2025,VXi,SUV,5,Compact SUV,1100000,Excellent,1462,Petrol,FALSE,103,137,Manual,5,FWD,13,Petrol,20,15,18,3995,1790,1685,2500,200,1200,328,FALSE,0,0,0,0,4,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Brezza,2025,ZXi,SUV,5,Compact SUV,1155000,Excellent,1462,Mild Hybrid,FALSE,103,137,Manual,5,FWD,12.5,Petrol,20.15,14.5,18,3995,1790,1685,2500,200,1195,328,FALSE,0,0,0,0,4,2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,3,100000,10000
Maruti Suzuki,Brezza,2025,ZXi Plus,Compact SUV,5,Compact SUV (Sub-4m),1300000,Excellent,1462,Mild Hybrid,FALSE,103,137,Manual,5,FWD,11.8,Petrol,20.15,14,18,3995,1790,1685,2500,200,1180,328,FALSE,0,0,0,0,4,6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,2,40000,10000
Maruti Suzuki,Brezza,2025,VXi AT,Compact SUV,5,Sub-4 Meter SUV,1150000,Excellent,1462,Mild Hybrid,FALSE,101,137,Automatic,6,FWD,13.5,Petrol,20.1,14.5,18,3995,1790,1685,2500,200,1185,328,FALSE,0,0,0,0,4,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Brezza,2025,ZXi AT,Compact SUV,5,Sub-4 Meter SUV,1300000,Excellent,1462,Mild Hybrid,FALSE,103,137,Automatic,6,FWD,13,Petrol,19.8,14.5,18,3995,1790,1685,2500,200,1195,328,FALSE,0,0,0,0,4,6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,3,100000,10000
Maruti Suzuki,Brezza,2025,ZXi Plus AT,SUV,5,Sub-Compact SUV,1450000,Excellent,1462,Mild Hybrid,FALSE,103,137,Automatic,6,FWD,12.5,Petrol,19.8,13.5,16.5,3995,1790,1685,2500,200,1185,328,FALSE,0,0,0,0,4,6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,2,40000,10000
Maruti Suzuki,Brezza,2025,LXi CNG,Compact SUV,5,Sub-4 Meter SUV,955000,Excellent,1462,Petrol/CNG,FALSE,86,121,Manual,5,FWD,15,CNG,25.51,20,22,3995,1790,1685,2500,200,1210,200,FALSE,0,0,0,0,4,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Brezza,2025,VXi CNG,Compact SUV,5,Sub-4m Compact SUV,1025000,Excellent,1462,Petrol,FALSE,87,121,Manual,5,FWD,13.5,CNG,26.5,22,25,3995,1790,1685,2500,200,1220,200,FALSE,0,0,0,0,4,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Brezza,2025,ZXi CNG,SUV,5,Compact SUV,1235000,Excellent,1462,Petrol/CNG,FALSE,86,105,Manual,5,FWD,14.5,CNG,25.5,22,24,3995,1790,1680,2500,200,1280,200,FALSE,0,0,0,0,4,6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,3,100000,10000
Maruti Suzuki,Ertiga,2025,LXi,MPV,7,Compact MPV,890000,Excellent,1462,Petrol,FALSE,103,137,Manual,5,FWD,13.5,Petrol,20.51,14,18,4395,1735,1690,2740,185,1135,209,FALSE,0,0,0,0,3,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Ertiga,2025,VXi,MPV,7,Compact MPV,1020000,Excellent,1462,Hybrid,FALSE,103,137,Manual,5,FWD,13.5,Petrol,20.5,16,18,4395,1735,1690,2740,185,1180,209,FALSE,0,0,0,0,3,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,3,100000,10000
Maruti Suzuki,Ertiga,2025,ZXi,MPV,7,Compact MPV,1180000,Excellent,1462,Mild Hybrid,FALSE,103,137,Manual,5,FWD,12.5,Petrol,20.51,15,18,4395,1735,1690,2740,185,1170,209,FALSE,0,0,0,0,3,4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,3,100000,10000
Maruti Suzuki,Ertiga,2025,ZXi Plus,MPV,7,Compact MPV,1300000,Excellent,1462,Mild Hybrid,FALSE,103,137,Automatic,6,FWD,13,Petrol,20.3,15,18,4395,1735,1690,2740,185,1200,209,FALSE,0,0,0,0,3,6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,3,100000,10000
Maruti Suzuki,Ertiga,2025,VXi AT,MPV,7,Compact MPV,1150000,Strong,1462,Petrol,FALSE,101,137,Automatic,6,FWD,13.5,Petrol,20.3,14.5,18,4395,1735,1690,2740,185,1200,209,FALSE,0,0,0,0,3,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,3,100000,10000
Maruti Suzuki,Ertiga,2025,ZXi AT,MPV,7,Compact MPV,1215000,Excellent,1462,Mild Hybrid,FALSE,102,137,Automatic,6,FWD,13.5,Petrol,20.3,13.5,17.5,4395,1735,1690,2740,185,1190,209,FALSE,0,0,0,0,3,4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,3,100000,10000
Maruti Suzuki,Ertiga,2025,ZXi Plus AT,MPV,7,Compact MPV,1300000,Good,1462,Mild Hybrid,FALSE,103,137,Automatic,6,FWD,13.5,Petrol,20.5,15,18,4395,1735,1690,2740,185,1200,209,FALSE,0,0,0,0,3,4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,3,100000,10000
Maruti Suzuki,Ertiga,2025,VXi CNG,MPV,7,Compact MPV,1135000,Excellent,1462,Petrol,FALSE,87,121,Manual,5,FWD,15.5,CNG,26.11,21,24.5,4395,1735,1690,2740,185,1220,209,FALSE,0,0,0,0,3,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,3,100000,10000
Maruti Suzuki,Ertiga,2025,ZXi CNG,MPV,7,Compact MPV,1220000,Excellent,1462,Petrol/CNG,FALSE,87,105,Manual,5,FWD,14.5,CNG,27,21,25,4395,1735,1690,2740,185,1230,209,FALSE,0,0,0,0,4,6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,3,100000,10000
Maruti Suzuki,Eeco,2025,5 Seater Std,MPV,5,MUV,545000,Excellent,1196,Petrol,FALSE,80,104,Manual,5,RWD,16.5,Petrol,19.71,15,18,3675,1475,1825,2350,160,940,540,FALSE,0,0,0,0,0,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Eeco,2025,7 Seater Std,MPV,7,Entry-level Van,610000,Excellent,1196,Petrol,FALSE,80,104,Manual,5,RWD,15.5,Petrol,20.2,14.5,17,3675,1475,1825,2350,160,980,150,FALSE,0,0,0,0,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Eeco,2025,5 Seater AC,MPV,5,Entry-Level Utility,580000,Excellent,1196,Petrol,FALSE,80,104,Manual,5,RWD,18,Petrol,20,15,18,3675,1475,1825,2350,160,960,540,FALSE,0,0,0,0,0,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Eeco,2025,5 Seater AC CNG,MPV,5,Entry-Level Utility Vehicle,720000,Excellent,1196,Petrol/CNG,FALSE,64,85,Manual,5,RWD,18,CNG,26.78,22,25,3675,1475,1825,2350,160,975,50,FALSE,0,0,0,0,0,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Ignis,2025,Sigma,Hatchback,5,Compact Hatchback,610000,Excellent,1197,Petrol,FALSE,82,113,Manual,5,FWD,12,Petrol,20.89,16.5,19,3700,1690,1595,2435,180,840,260,FALSE,0,0,0,0,3,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Ignis,2025,Delta,Hatchback,5,Compact Hatchback,635000,Excellent,1197,Petrol,FALSE,83,113,Manual,5,FWD,12.5,Petrol,20.89,15.5,18.5,3700,1690,1595,2435,180,865,260,FALSE,0,0,0,0,3,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Ignis,2025,Zeta,Hatchback,5,Compact Hatchback,735000,Good,1197,Petrol,FALSE,83,113,Manual,5,FWD,12,Petrol,20.89,16.5,19,3700,1690,1595,2435,180,840,260,FALSE,0,0,0,0,3,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Ignis,2025,Alpha,Hatchback,5,Compact Crossover,850000,Excellent,1197,Petrol,FALSE,90,113,AMT,5,FWD,12.5,Petrol,21.5,16.5,19,3700,1690,1595,2435,180,920,260,FALSE,0,0,0,0,3,6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,3,100000,10000
Maruti Suzuki,Ignis,2025,Delta AGS,Hatchback,5,Compact Hatchback,670000,Excellent,1197,Petrol,FALSE,89,113,AMT,5,FWD,13.5,Petrol,20.89,16,19.5,3700,1690,1595,2435,180,860,260,FALSE,0,0,0,0,3,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2,40000,10000
Maruti Suzuki,Ignis,2025,Zeta AGS,Hatchback,5,Compact Crossover,745000,Excellent,1197,Petrol,FALSE,89,113,Automatic,5,FWD,12.5,Petrol,20.89,16.5,19,3700,1690,1595,2435,180,865,260,FALSE,0,0,0,0,3,2,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2,40000,10000
